id,title,authors,abstract,keywords,url,download_url,handle,suggested_citation,page_number,Is_Economics
,"Technology, Globalisation and Multinationals The Asian Experience (Second Edition)",N S Siddharthan,"This second edition of the volume of Technology, Globalisation and Multinationals deals with issues relating to foreign direct investments (FDI); technology spillovers from FDI; in-house research and development (R&D) activities by enterprises; FDI in R&D global technology spillovers; technology and trade, information technology (IT) and outsourcing; universities, academic institutions and industry relationships. This volume differs from the earlier studies in one important respect. The earlier studies presented an exhaustive and comprehensive survey of literature on these issues, while this volume concentrates on select studies published in mainstream journals and discuss in-depth the data, methodology and findings of these select studies. An indepth analysis of some of the important studies in these areas and drawing appropriate conclusions and implications would be useful to students and scholars interested in this area. The volume will concentrate mainly on Asian studies. However, benchmark studies dealing with Europe and the US will be included.","FDI, technology, multinationals, R and D, India, Asia, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13158.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A20219160396_19.pdf&fcategory=Articles&AId=13158&fref=repec,RePEc:ess:wpaper:id:13158,"N S Siddharthan, 2021. ""Technology, Globalisation and Multinationals The Asian Experience (Second Edition),"" Working Papers id:13158, eSocialSciences.",1,True
,"Saving Lives and Livelihoods 01 Amidst a Once-in-a-Century Crisis: Chapter I, Economic Survey 2020-21",Ministry of Finance,"During the unlock phase, demand-side measures have been announced in a calibrated manner. A public investment programme centred around the National Infrastructure Pipeline is likely to accelerate this demand push and further the recovery. The upturn in the economy while avoiding a second wave of infections makes India a sui generis case in strategic policymaking amidst a oncein-a-century pandemic.","pandemic, Covid-19, Kerala, Maharashtra, GDP, unlock, WHO, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13133.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2021131195034_20.pdf&fcategory=Articles&AId=13133&fref=repec,RePEc:ess:wpaper:id:13133,"Ministry of Finance, 2021. ""Saving Lives and Livelihoods 01 Amidst a Once-in-a-Century Crisis: Chapter I, Economic Survey 2020-21,"" Working Papers id:13133, eSocialSciences.",1,True
,Is India Creating Adequate Jobs Post 2000: Treading Through Employment Elasticity,"G.D Bino Paul, Muralidharan T","This paper looks into diverse databases to gauge if economic growth in India creates adequate volume of jobs since the year 2000. In our exercise, we use a popular index called employment elasticity. This indicator says to what extent the employment expands while the economy grows. First, gauging the employment elasticity, we provide a comparative picture of India and other BRICS countries during 2000-2017. Second, using the time series data for 2000 to 2016, we present the analysis pertinent to India, disaggregated for Industries. Finally, we examine the temporal change in employment elasticity with respect to the organised manufacturing in India during 2000-2014. In essence, the data conveys that India needs to create discernibly higher volume of jobs in response to the impending economic growth or find other avenues like Manpower exports or entrepreneurship growth. All three exercises concur with the conclusion that job creation in India needs a gearing up since proportionate expansion in employment is not even a fifth of expansion in value added in the economy. What makes this attempt distinct from the extant literature is that it uses more granular data with respect to the household and the enterprise, while it examines the indicator from the macro angle, as well.","employment, employment elasticity, jobs, manpower exports, entrepreneurship growth, household data, job creation, india, south Asia, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13093.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A202062605047_19.pdf&fcategory=Articles&AId=13093&fref=repec,RePEc:ess:wpaper:id:13093,"G.D Bino Paul & Muralidharan T, 2020. ""Is India Creating Adequate Jobs Post 2000: Treading Through Employment Elasticity,"" Working Papers id:13093, eSocialSciences.",1,True
,Inequality in a Global Perspective,Ravi Kanbur,"The basic story of global inequality in the last three decades has been an overall decline, but one which is composed of quite intricate patterns. There has been a decline in between country inequality as China and India have grown relative to the US and other rich countries. This has been accompanied by an increase in within country inequality, but this is itself composed of rising inequality in some countries such as China, India and the US, and declining inequality in other countries, including large economies in Latin America. Section 2 of the paper will review these patterns, highlighting country diversity to make the central point that policy matters. Section 3 addresses a normative question""”what relative weight should be given to within country and between inequality in making an overall global assessment? This section will bring on board recent philosophical discourse, including on inequality of opportunity in a global frame. Section 4 will return to the ""policy matters"" theme and take up global constraints on national redistribution policy in a globalized world, for example a race to the bottom on taxation to attract and keep capital and talent, and possible global institutional responses to alleviate these constraints. [WP-Cornell-Dyson]","inequality, global inequality, between country inequality, within country inequality, inequality of opportunity, national redistribution policy, taxation, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13083.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A20206813448_19.pdf&fcategory=Articles&AId=13083&fref=repec,RePEc:ess:wpaper:id:13083,"Ravi Kanbur, 2020. ""Inequality in a Global Perspective,"" Working Papers id:13083, eSocialSciences.",1,True
,Emerging Markets Perspectives on G-20 led Financial Reforms,"Ashima Goyal, Akhilesh Verma","The chapter examines progress as well as continuing concerns in G-20 led financial reforms, with particular emphasis on emerging markets (EMs). Although risks remain they are of a lower order of magnitude compared to those in the pre global crisis period. But progress is slowest in areas of concern to EMs. Question marks over liquidity in markets as quantitative easing is withdrawn are echoed in EMs, which also face risk-off outflows and volatile exchange rates in this period. Leverage is high in some EMs after a period of low global interest rates and risk-on inflows in search of yields. But EMs are largely left to handle volatility themselves. Even the advice given to them or its understanding in policy circles or markets is not sufficiently nuanced. There are arguments for and against financial tightening as the best response to achieve financial stability. These are examined in the context of experiences in some specific EMs. Implications are drawn for G-20 policies and for its advice to EMs.","eSS, G-20, Financial reforms, Emerging markets, emerging markets (EMs), volatile exchange rates, pre global crisis period., All these keywords",https://ideas.repec.org/p/ess/wpaper/id13042.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2019425114636_29.pdf&fcategory=Articles&AId=13042&fref=repec,RePEc:ess:wpaper:id:13042,"Ashima Goyal & Akhilesh Verma, 2019. ""Emerging Markets Perspectives on G-20 led Financial Reforms,"" Working Papers id:13042, eSocialSciences.",1,True
,"News, Noise and Indian Business Cycle","Ashima Goyal, Abhishek Kumar","New Keynesian Dynamic Stochastic General Equilibrium (DSGE) models with various specifications of technology, markup and interest rate shocks are estimated with Indian data using Kalman filter based pure and Bayesian likelihood estimation. Preference and interest rate shocks are found to be important for output determination whereas markup and interest rate shocks are important for inflation. News, such as contained in stock market variables and arising from anticipated interest rates, affects growth of gross domestic product. Interest rate shock is anticipated at horizon of one quarter and out of total variance explained by interest rate shock, one third is due to the anticipated shock. Anticipated interest rate shock diminishes the role of preference shock in output determination. Markup shock has a large share, very low persistence but is correlated. There is evidence that permanent component of technology is not well anticipated, and once we incorporate that technology shocks become more important for determination of output although it still remains much below US levels. Implications for policy are drawn out.","eSS, Dynamic Stochastic General Equilibrium (DSGE) models, India, News, Noise, Technology Shock, Learning, Anticipated Shocks, Kalman Filter, Maximum Likelihood, Inflation, Monetary Policy, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13041.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2019425114222_29.pdf&fcategory=Articles&AId=13041&fref=repec,RePEc:ess:wpaper:id:13041,"Ashima Goyal & Abhishek Kumar, 2019. ""News, Noise and Indian Business Cycle,"" Working Papers id:13041, eSocialSciences.",1,True
,When do regulatory interventions work?,"Nidhi Aggarwal, Venkatesh Panchapagesan, Susan Thomas","Previous studies find mixed results about how a fee on high order-to-trade (OTR) ratios impacts market quality. Using a natural experiment where such a fee was introduced twice for different reasons, this paper finds evidence of impact only when the implementation matched the motive. The paper used a difference-in-difference regression, that exploits microstructure features, to find causal evidence of lower aggregate OTR and higher market quality when the fee was used to manage limited exchange infrastructure, but little to no change in the OTRs or market quality when it was used for a regulatory need to slow down high frequency trading.","eSS, Algorithmic trading, financial regulation, market efficiency, market liquidity, financial derivatives, order-to-trade (OTR), market, infrastructure, microstructure features, high frequency trading., All these keywords",https://ideas.repec.org/p/ess/wpaper/id13040.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2019425113755_29.pdf&fcategory=Articles&AId=13040&fref=repec,RePEc:ess:wpaper:id:13040,"Nidhi Aggarwal & Venkatesh Panchapagesan & Susan Thomas, 2019. ""When do regulatory interventions work?,"" Working Papers id:13040, eSocialSciences.",1,True
,Macroprudential Policy in Asian Economies,Soyoung Kim,"This paper analyzes the conduct and effects of macroprudential policy in 11 Asian economies. Of these, India, the People's Republic of China, and the Republic of Korea frequently used loan-to-value ratios and required reserve ratios even before the global financial crisis. India and the People's Republic of China are the most frequent users of macroprudential policy tools. Since 2000, tightening actions have been more frequent than loosening in the 11 economies. Most took tightening actions more frequently after the global financial crisis than before it. In most of these economies, macroprudential policy tends to be tightened when credit expands. The main empirical results from the analysis, which uses panel vector autoregression models, are that contractionary macroprudential policy has significant negative effects on credit and output; and that these effects are qualitatively similar to those of monetary policy. This suggests that policy authorities may experience potential policy conflicts when credit conditions are excessive and the economy is in recession.","eSS, Macroprudential Policy, Asian Economies, People's Republic of China, macroprudential policy tools, global financial crisis., All these keywords",https://ideas.repec.org/p/ess/wpaper/id13036.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2019423123735_29.pdf&fcategory=Articles&AId=13036&fref=repec,RePEc:ess:wpaper:id:13036,"Soyoung Kim, 2019. ""Macroprudential Policy in Asian Economies,"" Working Papers id:13036, eSocialSciences.",1,True
,"Public Expenditure on Old-Age Income Support in India: Largesse for a Few, Illusory for Most","Mukesh Kumar Anand, Rahul Chakraborty","Extant studies deciphering public expenditure on old-age income support in India carry limitations on (a) system expanse, (b) corresponding data collation, and therefore (c) depth of resource conscription. Benchmarking to the five-pillar architecture advanced by World Bank for old-age income support system, we trace (a) elderly covered, (b) public expenditure, (c) workers included, and (d) average benefits, for the year 2013-4 under each pillar in India.","eSS, public expenditure, old age income support, World Bank for old-age income support system, elderly, India., All these keywords",https://ideas.repec.org/p/ess/wpaper/id13035.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A201942153227_29.pdf&fcategory=Articles&AId=13035&fref=repec,RePEc:ess:wpaper:id:13035,"Mukesh Kumar Anand & Rahul Chakraborty, 2019. ""Public Expenditure on Old-Age Income Support in India: Largesse for a Few, Illusory for Most,"" Working Papers id:13035, eSocialSciences.",1,True
,Impact of Changes in Fiscal Federalism and Fourteenth Finance Commission Recommendations Scenarios on States Autonomy and Social Sector Priorities,"Amarnath H. K., Alka Singh","This paper compares the additional gains from higher tax devolution in the post 14th FC period, with the additional burden due to the withdrawal of certain central schemes and the changes in the sharing pattern of major Centrally Sponsored Schemes calling for greater contribution from the states. Average burden of the general category states due to CSS is 0.69 percent of combined GSDP of these states, whereas gains in tax devolution is 0.71 percent of combined GSDP of these states for the year 2015-16. In the following year, the difference is even less. This paper questions the rhetoric of greater autonomy for the states, which claims that the states have got additional money in the form of tax devolution and are therefore free to decide the priorities. The paper also discusses declining priority for social sector and child budgeting in the post 14th FC years, 2015-16 and 2016-17.","eSS, Fiscal Federalism, Fourteenth Finance Commission Recommendations, tax devolution, central scheme, social sector, child budgeting., All these keywords",https://ideas.repec.org/p/ess/wpaper/id13029.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A201933013403_29.pdf&fcategory=Articles&AId=13029&fref=repec,RePEc:ess:wpaper:id:13029,"Amarnath H. K. & Alka Singh, 2019. ""Impact of Changes in Fiscal Federalism and Fourteenth Finance Commission Recommendations Scenarios on States Autonomy and Social Sector Priorities,"" Working Papers id:13029, eSocialSciences.",1,True
