id,title,authors,abstract,keywords,url,download_url,handle,suggested_citation,page_number
,Creating Udyog Sahayak Enterprises Network (USENET) for Employment Generation and Scale-up in the MSME Sector,"T Muralidharan, G.D Bino Paul, Amit Basole","There are multiple forces - thirteen of them identified in this report - working against employment growth in India from both supply side and the demand side. It is proven that large enterprises create very few jobs. Even these few jobs are created for educated youth. Only Micro and Small Enterprises (MSEs) can create large number of jobs across India for workers with wide range of skills and education.we need to scale-up these existing MSEs. We can do this by creating a support system which will make these MSEs go digital, grow in scale and increase their productivity. This will automatically create jobs The Udyog Sahayak Enterprise Network (USENET) proposed in this report is that support system.","employment, youth, MSME, micro and small enterprises, USENET, employment generation, India, South Asia, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13136.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A202122155027_19.pdf&fcategory=Articles&AId=13136&fref=repec,RePEc:ess:wpaper:id:13136,"T Muralidharan & G.D Bino Paul & Amit Basole, 2021. ""Creating Udyog Sahayak Enterprises Network (USENET) for Employment Generation and Scale-up in the MSME Sector,"" Working Papers id:13136, eSocialSciences.",1
,"IMF and Big Business for Universal Vaccination Better Red, than Dead",Prabir Purkayastha,"The me-first policy on vaccine sharing will bring losses of $203 billion to $5 trillion to rich countries, while the returns are the highest if they support global universal vaccination.","IMF, vaccine, pharmaceutical industry, COVID, COVID 19, Developing countries, global universal vaccination, India, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13135.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A202122144417_19.pdf&fcategory=Articles&AId=13135&fref=repec,RePEc:ess:wpaper:id:13135,"Prabir Purkayastha, 2021. ""IMF and Big Business for Universal Vaccination Better Red, than Dead,"" Working Papers id:13135, eSocialSciences.",1
,"Saving Lives and Livelihoods 01 Amidst a Once-in-a-Century Crisis: Chapter I, Economic Survey 2020-21",Ministry of Finance,"During the unlock phase, demand-side measures have been announced in a calibrated manner. A public investment programme centred around the National Infrastructure Pipeline is likely to accelerate this demand push and further the recovery. The upturn in the economy while avoiding a second wave of infections makes India a sui generis case in strategic policymaking amidst a oncein-a-century pandemic.","pandemic, Covid-19, Kerala, Maharashtra, GDP, unlock, WHO, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13133.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2021131195034_20.pdf&fcategory=Articles&AId=13133&fref=repec,RePEc:ess:wpaper:id:13133,"Ministry of Finance, 2021. ""Saving Lives and Livelihoods 01 Amidst a Once-in-a-Century Crisis: Chapter I, Economic Survey 2020-21,"" Working Papers id:13133, eSocialSciences.",1
,Budget Speech of Kerala Finance Minister 2021-22,T.M. Thomas Issac,Kerala Budget presented by the Finance Minister.,"Budget, Kerala, COVID, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13129.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2021118113633_20.pdf&fcategory=Articles&AId=13129&fref=repec,RePEc:ess:wpaper:id:13129,"T.M. Thomas Issac, 2021. ""Budget Speech of Kerala Finance Minister 2021-22,"" Working Papers id:13129, eSocialSciences.",1
,Is India Creating Adequate Jobs Post 2000: Treading Through Employment Elasticity,"G.D Bino Paul, Muralidharan T","This paper looks into diverse databases to gauge if economic growth in India creates adequate volume of jobs since the year 2000. In our exercise, we use a popular index called employment elasticity. This indicator says to what extent the employment expands while the economy grows. First, gauging the employment elasticity, we provide a comparative picture of India and other BRICS countries during 2000-2017. Second, using the time series data for 2000 to 2016, we present the analysis pertinent to India, disaggregated for Industries. Finally, we examine the temporal change in employment elasticity with respect to the organised manufacturing in India during 2000-2014. In essence, the data conveys that India needs to create discernibly higher volume of jobs in response to the impending economic growth or find other avenues like Manpower exports or entrepreneurship growth. All three exercises concur with the conclusion that job creation in India needs a gearing up since proportionate expansion in employment is not even a fifth of expansion in value added in the economy. What makes this attempt distinct from the extant literature is that it uses more granular data with respect to the household and the enterprise, while it examines the indicator from the macro angle, as well.","employment, employment elasticity, jobs, manpower exports, entrepreneurship growth, household data, job creation, india, south Asia, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13093.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A202062605047_19.pdf&fcategory=Articles&AId=13093&fref=repec,RePEc:ess:wpaper:id:13093,"G.D Bino Paul & Muralidharan T, 2020. ""Is India Creating Adequate Jobs Post 2000: Treading Through Employment Elasticity,"" Working Papers id:13093, eSocialSciences.",1
,The Covid-19 Lockdown in India: Gender and Caste Dimensions of the First Job Losses,Ashwini Deshpande,"Based on national-level panel data from Centre for Monitoring Indian Economy (CMIE)'s Consumer Pyramids Household Survey (CPHS) database, this paper investigates the first effects of Covid-19 induced lockdown on employment. Examining the employment status of 37,000 in- dividuals before and after the lockdown, we find that individuals were 12.8 percentage points less likely to be employed post-lockdown. On a pre-lockdown base of 38.9 percent employment, this translates into a 33 precent reduction in the likelihood of being employed. The decline in employment is not gender and caste neutral. Men are more likely to be employed overall, and drop in male employment is greater in absolute terms. However, women who were employed in the pre-lockdown phase were 23.5 percentage points less likely to be employed in the post- lockdown phase, compared to men. Male heads of household were 11.3 percentage points more likely to be employed post-lockdown, compared to female heads of household. Caste differences are not as sharp as gender differences, but the we find that lockdown affected employment of the disadvantaged caste groups relatively more adversely than the higher ranked group of castes.","Covid-19, Lockdown, Employment, Gender, Caste, India, pandemic, COVID, Covid, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13085.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2020691898_19.pdf&fcategory=Articles&AId=13085&fref=repec,RePEc:ess:wpaper:id:13085,"Ashwini Deshpande, 2020. ""The Covid-19 Lockdown in India: Gender and Caste Dimensions of the First Job Losses,"" Working Papers id:13085, eSocialSciences.",1
,"(In)Visibility, Care and Cultural Barriers: The Size and Shape of Women's Work in India",Ashwini Deshpande,"Based on primary data from a large household survey in seven districts in West Bengal in India, this paper analyses the reasons underlying low labor force participation of women. In particular, we try to disentangle the intertwined strands of choice, constraints posed by domestic work and care responsibilities, and the predominant understanding of cultural norms as factors explaining the low labor force participation as measured by involvement in paid work. We document the fuzziness of the boundary between domestic work and unpaid (and therefore invisible) economic work that leads to mis-measurement of women's work and suggest methods to improve measurement. We find that being primarily responsible for domestic chores lower the probability of ""working"" , after accounting for all the conventional factors. We also document how, for women, being out of paid work is not synonymous with care or domestic work, as they are involved in expenditure saving activities. We also find that religion and visible markers such as veiling are not significant determinants of the probability of working. Our data shows substantial unmet demand for work. Given that women are primarily responsible for domestic chores, we also document that women express a demand for work that would be compatible with household chores. [discussion Paper Series in Economics. DP No.04/19]","Women, Gender, Labor Force Participation, India, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13084.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A20206916297_19.pdf&fcategory=Articles&AId=13084&fref=repec,RePEc:ess:wpaper:id:13084,"Ashwini Deshpande, 2020. ""(In)Visibility, Care and Cultural Barriers: The Size and Shape of Women's Work in India,"" Working Papers id:13084, eSocialSciences.",1
,"Shared Responsibility, Gobal Solidarity : Responding to the Socio-Economic Impacts of COVID-19",United Nations (UN),"The current global health crisis is unlike any in the 75-year history of the United Nations ""” one that is killing people, spreading human suffering, and upending people's lives. But this is much more than a health crisis. It is a human crisis. The coronavirus disease (COVID-19) is attacking societies at their core.This report is a call to action, for the immediate health response required to suppress transmission of the virus to end the pandemic; and to tackle the many social and economic dimensions of this crisis. It is, above all, a call to focus on people - women, youth, low-wage workers, small and medium enterprises, the informal sector and on vulnerable groups who are already at risk.","COVID, pandemic, global, social impact, human crisis, global, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13045.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A202042422147_19.pdf&fcategory=Articles&AId=13045&fref=repec,RePEc:ess:wpaper:id:13045,"United Nations (UN), 2020. ""Shared Responsibility, Gobal Solidarity : Responding to the Socio-Economic Impacts of COVID-19,"" Working Papers id:13045, eSocialSciences.",1
,"News, Noise and Indian Business Cycle","Ashima Goyal, Abhishek Kumar","New Keynesian Dynamic Stochastic General Equilibrium (DSGE) models with various specifications of technology, markup and interest rate shocks are estimated with Indian data using Kalman filter based pure and Bayesian likelihood estimation. Preference and interest rate shocks are found to be important for output determination whereas markup and interest rate shocks are important for inflation. News, such as contained in stock market variables and arising from anticipated interest rates, affects growth of gross domestic product. Interest rate shock is anticipated at horizon of one quarter and out of total variance explained by interest rate shock, one third is due to the anticipated shock. Anticipated interest rate shock diminishes the role of preference shock in output determination. Markup shock has a large share, very low persistence but is correlated. There is evidence that permanent component of technology is not well anticipated, and once we incorporate that technology shocks become more important for determination of output although it still remains much below US levels. Implications for policy are drawn out.","eSS, Dynamic Stochastic General Equilibrium (DSGE) models, India, News, Noise, Technology Shock, Learning, Anticipated Shocks, Kalman Filter, Maximum Likelihood, Inflation, Monetary Policy, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13041.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2019425114222_29.pdf&fcategory=Articles&AId=13041&fref=repec,RePEc:ess:wpaper:id:13041,"Ashima Goyal & Abhishek Kumar, 2019. ""News, Noise and Indian Business Cycle,"" Working Papers id:13041, eSocialSciences.",1
,When do regulatory interventions work?,"Nidhi Aggarwal, Venkatesh Panchapagesan, Susan Thomas","Previous studies find mixed results about how a fee on high order-to-trade (OTR) ratios impacts market quality. Using a natural experiment where such a fee was introduced twice for different reasons, this paper finds evidence of impact only when the implementation matched the motive. The paper used a difference-in-difference regression, that exploits microstructure features, to find causal evidence of lower aggregate OTR and higher market quality when the fee was used to manage limited exchange infrastructure, but little to no change in the OTRs or market quality when it was used for a regulatory need to slow down high frequency trading.","eSS, Algorithmic trading, financial regulation, market efficiency, market liquidity, financial derivatives, order-to-trade (OTR), market, infrastructure, microstructure features, high frequency trading., All these keywords",https://ideas.repec.org/p/ess/wpaper/id13040.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2019425113755_29.pdf&fcategory=Articles&AId=13040&fref=repec,RePEc:ess:wpaper:id:13040,"Nidhi Aggarwal & Venkatesh Panchapagesan & Susan Thomas, 2019. ""When do regulatory interventions work?,"" Working Papers id:13040, eSocialSciences.",1
