id,title,authors,abstract,keywords,url,download_url,handle,suggested_citation,page_number
,3rd Urban Economy Forum 2021:The Brampton Resolution,Urban Economy Forum 2021 UEF2021,The 3rd Urban Economy Forum is one of the world's most premier urban gatherings on sustainable urban economies and urban management. The collaborative approach for collective action taken by the organisation is integral to strengthen urban areas and working toward a more sustainable urban environment. Participation is a must for urban areas and empowering local communities can lead to greater and more equitable economic and social outcomes. Appropriate education is lacking in many urban areas. Governments must have processes in place that empower and create opportunities for communities where their voices are heard and contribute to decision making. Engaging communities should not be just another tokenism step in the process. The Forum also echoed the view that bringing people and opportunities closer together allows neighborhoods to flourish.,"urban economy, UEF 2021, urban development, urban finance, urban development and climate change, community participation., All these keywords",https://ideas.repec.org/p/ess/wpaper/id13172.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A202217204249_19.pdf&fcategory=Articles&AId=13172&fref=repec,RePEc:ess:wpaper:id:13172,"Urban Economy Forum 2021 UEF2021, 2022. ""3rd Urban Economy Forum 2021:The Brampton Resolution,"" Working Papers id:13172, eSocialSciences.",1
,The Humanities of Crisis: Climate Change and the Discipline,Pramod K. Nayar,"From scientific upheavals in the Early Modern to world wars in the twentieth century, Humanities has responded to the crisis and also reinvented itself in terms of methodologies and fields of inquiry. If this assumption about the origins of Humanities has credibility then it throws up two subsequent questions. One, is Humanities evolution primarily driven by crisis, as a response to a crisis? Two, instead of speaking of the Humanities in crisis - as is the usual trend - should we speak of the Humanities of crises?","humanities, crisis, climate change, COP26, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13166.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A20211115222555_19.pdf&fcategory=Articles&AId=13166&fref=repec,RePEc:ess:wpaper:id:13166,"Pramod K. Nayar, 2021. ""The Humanities of Crisis: Climate Change and the Discipline,"" Working Papers id:13166, eSocialSciences.",1
,Climate finance for Cities and Urban Governments,S Ananthakrishnan,"Ambitious actions taken to reduce urban emissions and increase resilience can enhance cities' quality of life and social equity in far-reaching ways.4 However, building just cities in an era of climate change will require well-considered investment at an unprecedented scale - a challenge far from resolved today. The objective of this briefing is to characterise this urban climate investment challenge across multiple dimensions, survey financial pathways emerging today and consider future directions. This discussion supports a number of COP26 goals, particular its key commitment to mobilise finance. COP26 Briefing","COP26, climate change, finance for climate change, urban development, cities, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13165.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A202111922038_19.pdf&fcategory=Articles&AId=13165&fref=repec,RePEc:ess:wpaper:id:13165,"S Ananthakrishnan, 2021. ""Climate finance for Cities and Urban Governments,"" Working Papers id:13165, eSocialSciences.",1
,Know your Publishing Space: Preprints: Boon or Bane?,Shubhada Nagarkar,"This essay addresses preprints, their advantages and disadvantages, the degree of public acceptance, and global promotional campaigns. It also focuses on dubious preprint servers as a source of scientific misinformation. It concludes with a cautionary note about the scenario in India.","preprints, publishing space, India, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13163.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2021102523234_19.pdf&fcategory=Articles&AId=13163&fref=repec,RePEc:ess:wpaper:id:13163,"Shubhada Nagarkar, 2021. ""Know your Publishing Space: Preprints: Boon or Bane?,"" Working Papers id:13163, eSocialSciences.",1
,eSSay:The Managerial University and Liberal Arts' Balancing Act,Pramod K. Nayar,"The managerialism that marks the HEIs has altered the Liberal Arts' perception of itself and the face it presents to the world. Can the academic manager build opinions, policies and decisions about the Liberal Arts in the quantification-driven managerial university?","managerial university, New Educational Policy, liberal arts, higher educational institutions, India, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13161.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A2021109132759_19.pdf&fcategory=Articles&AId=13161&fref=repec,RePEc:ess:wpaper:id:13161,"Pramod K. Nayar, 2021. ""eSSay:The Managerial University and Liberal Arts' Balancing Act,"" Working Papers id:13161, eSocialSciences.",1
,"Technology, Globalisation and Multinationals The Asian Experience (Second Edition)",N S Siddharthan,"This second edition of the volume of Technology, Globalisation and Multinationals deals with issues relating to foreign direct investments (FDI); technology spillovers from FDI; in-house research and development (R&D) activities by enterprises; FDI in R&D global technology spillovers; technology and trade, information technology (IT) and outsourcing; universities, academic institutions and industry relationships. This volume differs from the earlier studies in one important respect. The earlier studies presented an exhaustive and comprehensive survey of literature on these issues, while this volume concentrates on select studies published in mainstream journals and discuss in-depth the data, methodology and findings of these select studies. An indepth analysis of some of the important studies in these areas and drawing appropriate conclusions and implications would be useful to students and scholars interested in this area. The volume will concentrate mainly on Asian studies. However, benchmark studies dealing with Europe and the US will be included.","FDI, technology, multinationals, R and D, India, Asia, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13158.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A20219160396_19.pdf&fcategory=Articles&AId=13158&fref=repec,RePEc:ess:wpaper:id:13158,"N S Siddharthan, 2021. ""Technology, Globalisation and Multinationals The Asian Experience (Second Edition),"" Working Papers id:13158, eSocialSciences.",1
,Know Your Publishing Space: Predatory Journals: Publish and Perish!,Shubhada Nagarkar,"Predatory journals solely exist for monetary profit without any commitment to publishing ethics or quality of research. Not only do they damage the reputation of individual researchers and institutions, but more dangerously, they pollute scientific and other disciplines.","predatory journals, publishing, scientific journals, publish or perish, publishing ethics, research ethics, India, South Asia, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13147.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A20213320150_19.pdf&fcategory=Articles&AId=13147&fref=repec,RePEc:ess:wpaper:id:13147,"Shubhada Nagarkar, 2021. ""Know Your Publishing Space: Predatory Journals: Publish and Perish!,"" Working Papers id:13147, eSocialSciences.",1
,"PAISA for Municipalities: A Study of Fund Flows and Public Expenditure in the Geographic Jurisdiction of Tumakuru City Municipal Corporation, Tumakuru District, Karnataka","Swaroop Iyengar, Tanvi Bhatikar, T R Raghunandan, Avani Kapur","In 2009, 36 per cent of Karnataka's population was urban, and 32.7 per cent was poor- higher than the all-India level.This study aims to understand the nature and compute the size of the local public sector in the Smart City of Tumakuru, in Karnataka State through:-Â¦ An analysis of functions devolved to the Municipal Corporation.Â¦ Study of Tumakuru Corporation revenues and expenditures in financial years (FY) 2014-15 and FY2015-16.Â¦ Provide methodologies to attribute expenditure to specific wards, and; Â¦ Analyse ward-wise expenditure trends in FY 2014-15 and FY 2015-16 across all 35 wards of Tumakuru Corporation.","Tumakuru, Karnataka, municipal budgets, Smart City, India, South Asia, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13139.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A202123172342_19.pdf&fcategory=Articles&AId=13139&fref=repec,RePEc:ess:wpaper:id:13139,"Swaroop Iyengar & Tanvi Bhatikar & T R Raghunandan & Avani Kapur, 2021. ""PAISA for Municipalities: A Study of Fund Flows and Public Expenditure in the Geographic Jurisdiction of Tumakuru City Municipal Corporation, Tumakuru District, Karnataka,"" Working Papers id:13139, eSocialSciences.",1
,Creating Udyog Sahayak Enterprises Network (USENET) for Employment Generation and Scale-up in the MSME Sector,"T Muralidharan, G.D Bino Paul, Amit Basole","There are multiple forces - thirteen of them identified in this report - working against employment growth in India from both supply side and the demand side. It is proven that large enterprises create very few jobs. Even these few jobs are created for educated youth. Only Micro and Small Enterprises (MSEs) can create large number of jobs across India for workers with wide range of skills and education.we need to scale-up these existing MSEs. We can do this by creating a support system which will make these MSEs go digital, grow in scale and increase their productivity. This will automatically create jobs The Udyog Sahayak Enterprise Network (USENET) proposed in this report is that support system.","employment, youth, MSME, micro and small enterprises, USENET, employment generation, India, South Asia, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13136.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A202122155027_19.pdf&fcategory=Articles&AId=13136&fref=repec,RePEc:ess:wpaper:id:13136,"T Muralidharan & G.D Bino Paul & Amit Basole, 2021. ""Creating Udyog Sahayak Enterprises Network (USENET) for Employment Generation and Scale-up in the MSME Sector,"" Working Papers id:13136, eSocialSciences.",1
,"IMF and Big Business for Universal Vaccination Better Red, than Dead",Prabir Purkayastha,"The me-first policy on vaccine sharing will bring losses of $203 billion to $5 trillion to rich countries, while the returns are the highest if they support global universal vaccination.","IMF, vaccine, pharmaceutical industry, COVID, COVID 19, Developing countries, global universal vaccination, India, All these keywords",https://ideas.repec.org/p/ess/wpaper/id13135.html,http://www.esocialsciences.org/Download/repecDownload.aspx?fname=A202122144417_19.pdf&fcategory=Articles&AId=13135&fref=repec,RePEc:ess:wpaper:id:13135,"Prabir Purkayastha, 2021. ""IMF and Big Business for Universal Vaccination Better Red, than Dead,"" Working Papers id:13135, eSocialSciences.",1
